Rank,Title,Author,Price
1,The Light We Carry: Overcoming in Uncertain Times,Michelle Obama,48 offers from $12.68
2,It Starts with Us: A Novel (It Ends with Us),Colleen Hoover,$10.98 
3,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,$11.98 
4,"Interesting Facts For Curious Minds: 1572 Random But Mind-Blowing Facts About History, Science, Pop Culture And Everything In Between",Jordan Moore,$12.90 
5,The Screaming Goat (Book & Figure),"4.7 out of 5 stars 30,978",$8.06 
6,Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),M Prefontaine,$6.99 
7,It Ends with Us: A Novel (1),Colleen Hoover,$9.99 
8,The Ultimate Serial Killer Trivia Book: A Collection Of Fascinating Facts And Disturbing Details About Infamous Serial Killers And Their Horrific Crimes (Perfect True Crime Gift),Jack Rosewood,$14.88 
9,The Boys from Biloxi: A Legal Thriller,John Grisham,$14.00 
10,Go-To Dinners: A Barefoot Contessa Cookbook,Ina Garten,$15.19 
11,Verity,Colleen Hoover,$11.26 
12,Lessons in Chemistry: A Novel,Bonnie Garmus,$17.83 
13,"From Crook to Cook: Platinum Recipes from Tha Boss Dogg's Kitchen (Snoop Dogg Cookbook, Celebrity Cookbook with Soul Food Recipes) (Snoop Dog x Chronicle Books)",Snoop Dogg,$15.62 
14,My First Library : Boxset of 10 Board Books for Kids,Wonder House Books,$16.39 
15,Faith Still Moves Mountains: Miraculous Stories of the Healing Power of Prayer,Harris Faulkner,$17.83 
16,Promises From God for Women Cards - A Box of Blessings,Christian Art Gifts,$4.99 
17,"Interesting Stories For Curious People: A Collection of Fascinating Stories About History, Science, Pop Culture and Just About Anything Else You Can Think of",Bill O'Neill,$8.19 
18,Dad Jokes: Over 600 of the Best (Worst) Jokes Around and Perfect Christmas Gag Gift for All Ages! (World's Best Dad Jokes Collection),Jimmy Niro,$5.93 
19,Diper Överlöde (Diary of a Wimpy Kid Book 17),Jeff Kinney,$10.00 
20,Fairy Tale,Stephen King,$16.25 
21,"Life Skills for Teens: How to Cook, Clean, Manage Money, Fix Your Car, Perform First Aid, and Just About Everything in Between",Karen Harris,$9.99 
22,The January 6 Report,The January 6th Committee,$13.99 
23,2023 National Park Foundation Wall Calendar: 12-Month Nature Calendar & Photography Collection (Monthly Calendar),National Park Foundation,$10.52 
24,Spare,Prince Harry  The Duke of Sussex,$23.00 
25,"Harry Potter and the Order of the Phoenix: The Illustrated Edition (Harry Potter, Book 5)",J. K. Rowling,$29.48 
26,The Simply Happy Cookbook: 100-Plus Recipes to Take the Stress Out of Cooking (The Happy Cookbook Series),Steve Doocy,$18.80 
27,The 48 Laws of Power,Robert Greene,$11.60 
28,I'm Glad My Mom Died,Jennette McCurdy,$17.28 
29,Reminders of Him: A Novel,Colleen Hoover,$9.57 
30,Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,$38.86 
